"town","townID","totpixels","openwater","devopen","devlow","devmed","devhigh","barrenrock","decidforest","evergrnfor","mixedforest","shrubscrub","grassherb","pasturehay","cultcrop","woodywet","emergherbwet","RPopenwater","RPdevopen","RPdevlow","RPdevmed","RPdevhigh","RPbarrenrock","RPdecidforest","RPevergrnfor","RPmixedforest","RPshrubscrub","RPgrassherb","RPpasturehay","RPcultcrop","RPwoodywet","RPemergherbwet","Cforest","Clowdev","Chighdev","Cgrass","CPforest","CPshrubscrub","CPlowdev","CPhighdev","CPgrass","CPemherbwet","CPwoodywet","CPopenwater","nmds2011.1","nmds2011.2"
"PAXTON",228,44478,1729,2885,1935,690,48,98,11934,2353,11470,222,816,2549,0,7285,464,0.038873151,0.064863528,0.043504654,0.015513287,0.001079185,0.002203336,0.268312424,0.052902559,0.2578803,0.004991232,0.018346149,0.057309232,0,0.163788839,0.010432124,25757,4820,738,3365,0.579095283,0.004991232,0.108368182,0.016592473,0.07565538,0.010432124,0.163788839,0.038873151,-0.163214836,-0.097798853
"GILL",106,42603,3010,1859,1505,587,29,64,10119,10489,5276,375,228,5288,1666,1913,195,0.070652301,0.043635425,0.035326151,0.013778372,0.000680703,0.001502242,0.237518485,0.246203319,0.123841044,0.008802197,0.005351736,0.124122714,0.039105227,0.044902941,0.004577142,25884,3364,616,5516,0.607562848,0.008802197,0.078961575,0.014459076,0.12947445,0.004577142,0.044902941,0.070652301,-0.062584373,-0.206391878
"WEST SPRINGFIELD",325,50460,2290,8554,9433,6953,3267,935,11908,1084,2168,111,142,375,15,3165,60,0.045382481,0.169520412,0.186940151,0.137792311,0.064744352,0.018529528,0.235988902,0.021482362,0.042964725,0.002199762,0.00281411,0.007431629,0.000297265,0.062722949,0.001189061,15160,17987,10220,517,0.300435989,0.002199762,0.356460563,0.202536663,0.010245739,0.001189061,0.062722949,0.045382481,0.119746159,0.21493509
"SOUTHWICK",279,91076,2281,6473,5139,1539,317,705,23070,5045,21638,464,888,8544,5404,9373,196,0.025045017,0.071072511,0.056425403,0.016897975,0.00348061,0.007740788,0.253304932,0.055393298,0.2375818,0.005094646,0.009750099,0.093811762,0.059335061,0.10291405,0.002152049,49753,11612,1856,9432,0.54628003,0.005094646,0.127497914,0.020378585,0.10356186,0.002152049,0.10291405,0.025045017,-0.110713575,-0.093282758
"LEXINGTON",155,47884,360,9598,10757,9692,1874,94,6676,501,2304,26,162,226,5,5229,380,0.007518169,0.200442737,0.224647064,0.202405814,0.039136246,0.001963077,0.139420266,0.010462785,0.048116281,0.000542979,0.003383176,0.004719739,0.000104419,0.109201403,0.007935845,9481,20355,11566,388,0.197999332,0.000542979,0.4250898,0.24154206,0.008102915,0.007935845,0.109201403,0.007518169,0.12750268,0.363314463
"BELMONT",26,13578,127,1932,3032,5138,1221,14,1006,134,410,3,142,16,3,378,22,0.009353366,0.142288997,0.223302401,0.378406245,0.089924878,0.00103108,0.07409044,0.009868906,0.030195905,0.000220946,0.010458094,0.001178377,0.000220946,0.027839152,0.001620268,1550,4964,6359,158,0.114155251,0.000220946,0.365591398,0.468331124,0.011636471,0.001620268,0.027839152,0.009353366,0.367160352,0.38968027
"SOUTH HADLEY",275,53054,2067,7775,6674,3202,623,70,15136,1545,7192,205,451,2744,931,4294,145,0.038960305,0.146548799,0.125796358,0.060353602,0.011742753,0.00131941,0.285294229,0.029121273,0.135559995,0.003863988,0.008500773,0.051720888,0.017548158,0.080936404,0.002733064,23873,14449,3825,3195,0.449975497,0.003863988,0.272345158,0.072096355,0.060221661,0.002733064,0.080936404,0.038960305,-0.000918789,0.028984711
"HAWLEY",129,87867,153,2413,295,21,0,77,30714,4791,42983,239,670,3262,499,1654,96,0.001741268,0.02746196,0.003357347,0.000238998,0,0.000876324,0.349551026,0.05452559,0.489182514,0.00272002,0.007625161,0.03712429,0.005679038,0.018823904,0.00109256,78488,2708,21,3932,0.89325913,0.00272002,0.030819306,0.000238998,0.044749451,0.00109256,0.018823904,0.001741268,-0.187635929,-0.448025367
"DEDHAM",73,30761,704,3813,5310,7682,2464,22,2805,791,2005,23,67,100,2,4565,408,0.022886122,0.123955658,0.172621176,0.249731803,0.080101427,0.000715191,0.091186892,0.025714379,0.065179936,0.0007477,0.002178083,0.00325087,6.5e-05,0.148402198,0.013263548,5601,9123,10146,167,0.182081207,0.0007477,0.296576834,0.32983323,0.005428952,0.013263548,0.148402198,0.022886122,0.21090473,0.310217638
"MILLVILLE",188,14154,30,1314,966,590,38,9,7640,92,1708,22,36,127,1,1554,27,0.002119542,0.092835947,0.068249258,0.04168433,0.002684753,0.000635863,0.539776742,0.006499929,0.120672601,0.001554331,0.002543451,0.008972729,7.07e-05,0.109792285,0.001907588,9440,2280,628,163,0.666949272,0.001554331,0.161085206,0.044369083,0.011516179,0.001907588,0.109792285,0.002119542,-0.095833398,-0.191310418
